"oktmo";"year";"reg_num";"mo_name";"reg";"reg_name";"fd";"fd_desc";"mun_type";"mun_desc";"broken_roads";"people_without_transport_share";"land_taxed_share";"apartments_kadastr_share";"kids_kindergarden_share";"workers_share";"electricity_consumption";"heating_consumption";"hot_water_consumption";"water_cold_consumption";"gas_consumption";"electricity_consumption_mun";"heating_consumption_mun";"water_hot_consumption_mun";"water_cold_consumption_mun";"gas_consumption_mun";"apartments_square_share";"business";"mun_wages_share_1";"wages_debt_share_mun";"mun_profit_share_1";"failed_wages_debt_share_mun_1";"failed_wages_debt_share_mun_all_1";"kids_leisure_share";"kindergardens_repair";"libraries_alone";"libraries";"parks";"investments_per_capita";"population_average";"requests_all";"requests_winners";"land_for_construction_all";"land_for_preparation";"additional_education_kids_share";"bankruptcy_share";"uncomlited_construction_share";"land_for_construction_share_10000";"people_housing_improved_share";"general_plan";"profit_agro_organization_share";"profit_agro_organization_number";"mun_wages_share_2";"failed_wages_debt_share_mun_2";"failed_wages_debt_share_mun_all_2";"mun_investments";"budget_executed";"budget_deficit";"mun_profit_share_2";"Status";"GRP";"Distance";"all";"ind";"grat";"pop";"bud_ratio";"grat_ratio";"bud_pc_ratio";"dot";"subv";"subs";"communal_index";"weber_index";"reg_eng";"communal_index_1";"communal_index_2";"size";"communal_index_n";"TIK";"contstituencies";"turnout2016";"mean_trn16";"sd_trn16";"sd_trn16_100";"median_trn16";"trn_deviation_median";"trn_dev_median_scale";"DV_turn1";"DV_turn2";"var_trn16";"turn_average_reg16";"turn_mun_reg16";"turn_country16";"turn_mun_con16";"turn_average_reg11";"UR_count16";"UR_share";"mean_ur_share16";"sd_ur_share16";"sd_ur_share16_100";"median_ur_share16";"ur_deviation_median";"ur_dev_median_scale";"DV_ur1";"DV_ur2";"var_ur_share16";"UR_average_reg16";"UR_mun_reg16";"UR_country";"UR_mun_con";"UR_average_reg11";"head_id";"position_title";"name_last";"name_first";"name_patr";"rulestart";"ruleend";"termyears";"returner";"educ_lvl";"edu_sphere";"owner_before";"director_ever";"elected_ever";"job_before";"adm_exp";"varangian";"model";"Petrov_Titkov_2003_2007";"Petrov_Titkov_2006_2010";"ENP_LT";"ENP_Golosov";"all_factories";"state_factories";"statefact_share";"municipal_factories";"munfact_share";"water_repair";"waste_repair";"waste_length";"gas_length";"model_d";"logsubs";"loggrat";"logpop";"logincome"
1601000;2017;1;"Алейский муниципальный район";"Altai K";"Алтайский край";"sfo";"СФО";"Municipal districts";"муниципальный район";24,7;0,200000000000003;61,4;33;8,6;;900,9;0,24;;30;;40,1;0,14;;0,5;;27,8;;1135;;51;;;36,9;0;;;;5789;14460;;;;;;0;;2,1;16,7;1;;;1135;;;;258444;;51;0;"215 768.40";3419;258444;145751;173940;14513;0,564;0,327;17,8730290456432;13203;;45218;;;"Altaisky Krai";;;1;;"Алейский";13558;0,57;0,43;0,041;4,093;0,43;0,14;1,432637275;2;2;0,001675304;0,41;1,39;0,48;1,19;0,51;3872;0,5;0,376290323;0,045420941;4,54209409;0,37;0,13;1,608592065;2;2;0,002063062;0,59;0,84;0,54;0,92;0,37;"221958";"Глава Алейского района";"Агаркова ";"Светлана ";"Яковлевна ";2004;;12;1;2;"Economics";0;0;1;"Local administration (the same area)";1;0;"competition";35;35;3,948618678;3,178758034;53486;1559;0,029;4017;0,075;0,003139;;0;;0;10,7192505166363;12,0664656911438;9,57914149571276;12,4624343150326
1602000;2017;1;"Алтайский муниципальный район";"Altai K";"Алтайский край";"sfo";"СФО";"Municipal districts";"муниципальный район";11,4;3,5;48,7;66,5;15;;970;0,3;0;24;8;84,1;0,2;0;2,3;6;22;;296;;82,4;;;51,6;0;;;;16004;25954;;;;;;4,1;0;8;1,6;1;;;296;;;;372094;;82,4;0;"215 768.40";3419;372094;169380;232552;26022;0,455;0,375;14,336672574555;1407;;28431;;;"Altaisky Krai";;;1;;"Алтайский";20240;0,44;0,43;0,041;4,093;0,43;0,01;0,094737327;2;1;0,001675304;0,41;1,07;0,48;0,92;0,51;3388;0,38;0,376290323;0,045420941;4,54209409;0,37;0,01;0,138140769;2;1;0,002063062;0,59;0,64;0,54;0,7;0,37;"221947";"Глава Алтайского района";"Коршунов";"Виктор ";"Павлович ";1997;2017;19;1;2;"Pedagogy";;;;;;;"competition";35;35;3,948618678;3,178758034;53486;1559;0,029;4017;0,075;;;0;0;0;10,2552353781383;12,3568691349163;10,1640810192972;12,826901789507
1603000;2017;1;"Баевский муниципальный район";"Altai K";"Алтайский край";"sfo";"СФО";"Municipal districts";"муниципальный район";81,24;14;30;100;4;;1053;0,16;;23,06;;59,84;0,28;;0,43;;27,7;;1685;;52,9;;;46,8;0;;;;150;9300;;;;;;1,83;;;2;1;;;1685;;;;176957;;52,9;0;"215 768.40";3419;176957;91657;128040;9362;0,518;0,276;19,0276344086022;15916;;26824;;;"Altaisky Krai";;;1;;"Баевский";8753;0,47;0,43;0,041;4,093;0,43;0,04;0,403483469;2;1;0,001675304;0,41;1,15;0,48;0,98;0,51;1355;0,33;0,376290323;0,045420941;4,54209409;0,37;-0,04;-0,474547271;1;1;0,002063062;0,59;0,56;0,54;0,61;0,37;"221975";"Глава Баевского района";"Мерц ";"Андрей ";"Давыдович";2012;;4;1;2;"Agriculture";0;0;0;"Local administration (the same area)";1;0;"competition";35;35;3,948618678;3,178758034;53486;1559;0,029;4017;0,075;;;;;0;10,1970522881461;11,7600979940838;9,13776967914135;12,0836620441887
1604000;2017;1;"Бийский муниципальный район";"Altai K";"Алтайский край";"sfo";"СФО";"Municipal districts";"муниципальный район";85,21;0,0699999999999932;54,6;65;16,6;;818;0,34;0;31,9;3;83,8;0,17;0;1,7;0;24,5;;883;;58,5;;;50,7;0;;;;11576;32079;;;;;;0;0;7,39;10,6;1;;;883;;;;483565;;58,5;0;"215 768.40";3419;483565;235326;345794;32387;0,487;0,285;15,0741918388977;12675;;84880;;;"Altaisky Krai";;;1;;"Бийский";28099;0,37;0,43;0,041;4,093;0,43;-0,06;-0,625670337;1;1;0,001675304;0,41;0,9;0,48;0,77;0,51;3980;0,38;0,376290323;0,045420941;4,54209409;0,37;0,01;0,138140769;2;1;0,002063062;0,59;0,64;0,54;0,7;0,37;"221969";"Глава Бийского района";"Якуба";"Евгений";"Алексеевич      ";2010;2018;6;1;2;;;;;;;;"competition";35;35;3,948618678;3,178758034;53486;1559;0,029;4017;0,075;0,047009;;;1,142;0;11,3489937732879;12,7535985010108;10,3759568894248;13,088941021241
1605000;2017;1;"Благовещенский муниципальный район";"Altai K";"Алтайский край";"sfo";"СФО";"Municipal districts";"муниципальный район";79,9;0;85,1;85;7,5;;1200;0,23;17;36,2;0;44,3;0,29;0,2;0,8;0;25,4;;1114;;80,3;;;55,8;0;;;;38295;28529;;;;;;0;0;0,34;1,3;1;;;1114;;;;555048;;80,3;0;"215 768.40";3419;555048;335659;281729;28596;0,605;0,492;19,4555715237127;6546;;55293;;;"Altaisky Krai";;;1;;"БлаговещенскийАлт";24008;0,46;0,43;0,041;4,093;0,43;0,03;0,300568089;2;1;0,001675304;0,41;1,12;0,48;0,96;0,51;4015;0,36;0,376290323;0,045420941;4,54209409;0,37;-0,01;-0,106934447;1;1;0,002063062;0,59;0,61;0,54;0,66;0,37;"221959";"Глава Благовещенского района";"Гинц";"Андрей ";"Артурович";2008;;8;1;2;"Pedagogy";0;0;0;"Local administration (the same area)";1;0;"competition";35;35;3,948618678;3,178758034;53486;1559;0,029;4017;0,075;0,019839;;0;;0;10,9204015972197;12,5487008949627;10,2586763927696;13,2268098754753
1606000;2017;1;"Бурлинский муниципальный район";"Altai K";"Алтайский край";"sfo";"СФО";"Municipal districts";"муниципальный район";28,72;27;32,4;100;3;;1140;0,39;0;27;0;50,6;0,39;0;4,5;0;26,9;;1436;;38;;;52,7;0;;;;3175;10416;;;;;;0;0;0;11,1;1;;;1436;;;;214879;;38;0;"215 768.40";3419;214879;122856;168275;10448;0,572;0,217;20,6297043010753;24687;;51559;;;"Altaisky Krai";;;1;;"Бурлинский";9141;0,48;0,43;0,041;4,093;0,43;0,05;0,50639885;2;1;0,001675304;0,41;1,17;0,48;1;0,51;1809;0,41;0,376290323;0,045420941;4,54209409;0,37;0,04;0,505753593;2;1;0,002063062;0,59;0,69;0,54;0,76;0,37;"221957";"Глава муниципального образования ""Бурлинский район""";"Давыденко";"Сергей ";"Анатольевич";2010;;6;1;2;"Agriculture";0;0;1;"Local administration (the same area)";1;0;"competition";35;35;3,948618678;3,178758034;53486;1559;0,029;4017;0,075;;;;;0;10,8504820619853;12,0333548248789;9,25109836444835;12,277830357986
1607000;2017;1;"Быстроистокский муниципальный район";"Altai K";"Алтайский край";"sfo";"СФО";"Municipal districts";"муниципальный район";60,59;1,59999999999999;91;57;6;;1100;0,32;;44;;65;0,3;;20;;26,4;;1414;;31,1;;;50,3;0;;;;5643;8894;;;;;;;;1,27;8,93;1;;;1414;;;;181125;;31,1;0;"215 768.40";3419;181125;96825;146656;8955;0,535;0,19;20,3648527096919;21869;;40486;;;"Altaisky Krai";;;1;;"Быстроистокский";7969;0,43;0,43;0,041;4,093;0,43;0;-0,008178053;1;1;0,001675304;0,41;1,05;0,48;0,9;0,51;1234;0,36;0,376290323;0,045420941;4,54209409;0,37;-0,01;-0,106934447;1;1;0,002063062;0,59;0,61;0,54;0,66;0,37;"221963";"Глава Администрации Быстроистокского района";"Довгаль ";"Елена ";"Николаевна";2015;2017;1;0;3;"Pedagogy";0;0;1;"Local administration (other area)";0;1;"competition";35;35;3,948618678;3,178758034;53486;1559;0,029;4017;0,075;;;;;0;10,6087115143215;11,8958449873089;9,09313217107064;12,106942679623
1608000;2017;1;"Волчихинский муниципальный район";"Altai K";"Алтайский край";"sfo";"СФО";"Municipal districts";"муниципальный район";84,47;12;37,99;80;11;;1580;0,33;;35,7;;87,4;0,25;;0,75;;26,1;;966;;80,2;;;53,1;0;;;;10537;17564;;;;;;;;0,31;8;1;;;966;;;;289552;;80,2;0;"215 768.40";3419;289552;135000;175717;17704;0,466;0,393;16,4855386016853;;;21165;;;"Altaisky Krai";;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,002274;;;;;9,96010415295502;12,0766300253285;9,77360663168161;12,5760901799
1609000;2017;1;"Егорьевский муниципальный район";"Altai K";"Алтайский край";"sfo";"СФО";"Municipal districts";"муниципальный район";78,95;0,200000000000003;73;92;7,7;;340;0,16;0;18,6;0;54;0,26;0;0,9;0;27,4;;864;;46,9;;0,8;51,5;0;;;;2677;13154;;;;;;0;0;2,04;3,1;1;;;864;;0,8;;269916;;46,9;0;"215 768.40";3419;269916;157927;197382;13239;0,585;0,269;20,5196898281891;4005;;81388;;;"Altaisky Krai";;;1;;"Егорьевский";11087;0,4;0,43;0,041;4,093;0,43;-0,03;-0,316924195;1;1;0,001675304;0,41;0,98;0,48;0,84;0,51;1343;0,3;0,376290323;0,045420941;4,54209409;0,37;-0,07;-0,842160094;1;1;0,002063062;0,59;0,5;0,54;0,55;0,37;"221977";"Глава Егорьевского района";"Нуйкин ";"Максим ";"Валерьевич";2013;;3;1;3;"Lawyer";0;0;0;"Local administration (the same area)";1;0;"competition";35;35;3,948618678;3,178758034;53486;1559;0,029;4017;0,075;;;;;0;11,3069831209758;12,1928962164135;9,4844811738613;12,5058660784643
1610000;2017;1;"Ельцовский муниципальный район";"Altai K";"Алтайский край";"sfo";"СФО";"Municipal districts";"муниципальный район";50;2;22;100;1;;780;0,3;;21,6;;109;0,1;;3;;29,3;;2193;;16,1;;;47,6;100;;;;256;6118;;;;;;0;;5,7;3,2;1;;;2193;;;;195926;;16,1;0;"215 768.40";3419;195926;148819;171971;6113;0,76;0,122;32,0245178162798;20973;;103591;;;"Altaisky Krai";;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,03856;;;;;11,548205732447;12,0550811369291;8,71899052471085;12,1854923159019
